epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.32186618338684353,0.8834998332075075,0.8825464558428315,0.8829944494363721,0.8826711510457671,0.2723521427092512,0.9028193868756925,0.902925876535634,0.901315664653807,0.9020486171686963
2,0.2695625548653849,0.9045508014818197,0.903896920130724,0.9040443529894292,0.9038782638987158,0.25730497866815194,0.9100422702835802,0.909374337469675,0.9095357265983659,0.9093487073517771
3,0.26056461966062866,0.9073599381989922,0.9066450645291221,0.9069188154266845,0.9067028175035078,0.2547440032213144,0.9106578569376615,0.9105926345165748,0.9101016732254535,0.9101395691532191
4,0.25094209579342786,0.9097652615130712,0.9090682599916836,0.9093601283115889,0.9091375513769325,0.26486612054864017,0.9107399351582057,0.9106030814978253,0.9105680078347036,0.9103029557186261
5,0.2389752234002638,0.9131098899169549,0.9122427723720111,0.9126782090721172,0.9124134365440034,0.2603567114901629,0.9065129068001806,0.9054293979099524,0.9056960254515886,0.9055501627714757
6,0.2237807445055439,0.9171304668434082,0.9161959178877571,0.9168704454336373,0.9164993143915141,0.27164621175733683,0.908975253416506,0.9084318835779929,0.9083991323170576,0.9083158022508826
