id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
MX94dI81/,MX94dI8114,14,14,Foul by Jannik Vestergaard (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,jannik vestergaard,,,,,,0,,,0,,0
MX94dI81/,MX94dI8115,15,14,Vedad Ibisevic (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,vedad ibisevic,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8116,16,18,Zlatko Junuzovic (SV Werder Bremen) wins a free kick on the left wing.,8,,1,Werder Bremen,Hertha Berlin,zlatko junuzovic,,,,,,0,4.0,,0,,0
MX94dI81/,MX94dI8117,17,18,Foul by Mitchell Weiser (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,mitchell weiser,,,,,,0,,,0,,0
MX94dI81/,MX94dI8118,18,20,Attempt saved. Florian Grillitsch (SV Werder Bremen) right footed shot from a difficult angle on the right is saved in the centre of the goal. Assisted by Levin Oztunali.,1,12.0,1,Werder Bremen,Hertha Berlin,florian grillitsch,levin oztunali,,,5.0,1.0,0,8.0,1.0,1,1.0,0
MX94dI81/,MX94dI8119,19,20,"Corner,  SV Werder Bremen. Conceded by Mitchell Weiser.",2,,1,Werder Bremen,Hertha Berlin,mitchell weiser,mitchell weiser,,,,,0,,,0,,0
MX94dI81/,MX94dI8120,20,21,Attempt blocked. Levin Oztunali (SV Werder Bremen) left footed shot from outside the box is blocked.,1,,1,Werder Bremen,Hertha Berlin,levin oztunali,,,,2.0,3.0,0,15.0,2.0,0,1.0,0
MX94dI81/,MX94dI8121,21,21,Attempt missed. Levin Oztunali (SV Werder Bremen) right footed shot from outside the box misses to the right following a corner.,1,,1,Werder Bremen,Hertha Berlin,levin oztunali,,,,9.0,2.0,0,15.0,1.0,0,3.0,0
MX94dI81/,MX94dI8122,22,22,Clemens Fritz (SV Werder Bremen) wins a free kick in the defensive half.,8,,1,Werder Bremen,Hertha Berlin,clemens fritz,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8123,23,22,Foul by Per Skjelbred (Hertha Berlin).,3,,2,Hertha Berlin,Werder Bremen,per skjelbred,,,,,,0,,,0,,0
MX94dI81/,MX94dI8124,24,25,Foul by Santiago Garcia (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,santiago garcia,,,,,,0,,,0,,0
MX94dI81/,MX94dI8125,25,25,Genki Haraguchi (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,genki haraguchi,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8126,26,26,Attempt missed. Anthony Ujah (SV Werder Bremen) header from outside the box misses to the right. Assisted by Theodor Gebre Selassie.,1,12.0,1,Werder Bremen,Hertha Berlin,anthony ujah,theodor gebre selassie,,,9.0,2.0,0,15.0,3.0,1,1.0,0
MX94dI81/,MX94dI8127,27,27,Foul by Clemens Fritz (SV Werder Bremen).,3,,1,Werder Bremen,Hertha Berlin,clemens fritz,,,,,,0,,,0,,0
MX94dI81/,MX94dI8128,28,27,John Brooks (Hertha Berlin) wins a free kick in the defensive half.,8,,2,Hertha Berlin,Werder Bremen,john brooks,,,,,,0,2.0,,0,,0
MX94dI81/,MX94dI8129,29,27,"Corner,  Hertha Berlin. Conceded by Papy Djilobodji.",2,,2,Hertha Berlin,Werder Bremen,papy djilobodji,papy djilobodji,,,,,0,,,0,,0
MX94dI81/,MX94dI8130,30,28,Attempt blocked. Salomon Kalou (Hertha Berlin) header from the left side of the six yard box is blocked. Assisted by Marvin Plattenhardt with a cross.,1,12.0,2,Hertha Berlin,Werder Bremen,salomon kalou,marvin plattenhardt,,,2.0,3.0,0,10.0,3.0,2,1.0,0
MX94dI81/,MX94dI8131,31,28,"Corner,  Hertha Berlin. Conceded by Clemens Fritz.",2,,2,Hertha Berlin,Werder Bremen,clemens fritz,clemens fritz,,,,,0,,,0,,0
MX94dI81/,MX94dI8132,32,28,Attempt blocked. Vedad Ibisevic (Hertha Berlin) header from the left side of the six yard box is blocked. Assisted by Vladimir Darida with a cross.,1,12.0,2,Hertha Berlin,Werder Bremen,vedad ibisevic,vladimir darida,,,2.0,3.0,0,10.0,3.0,2,1.0,0
MX94dI81/,MX94dI8133,33,28,"Corner,  Hertha Berlin. Conceded by Anthony Ujah.",2,,2,Hertha Berlin,Werder Bremen,anthony ujah,anthony ujah,,,,,0,,,0,,0
MX94dI81/,MX94dI8134,34,29,"Goal!  SV Werder Bremen 0, Hertha Berlin 1. Vladimir Darida (Hertha Berlin) right footed shot from outside the box to the top left corner. Assisted by Per Skjelbred with a headed pass.",1,12.0,2,Hertha Berlin,Werder Bremen,vladimir darida,per skjelbred,,,12.0,1.0,1,15.0,1.0,3,1.0,0
