epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.8543554639883255,0.5297856277542707,0.5443207814517675,0.5271683000483499,0.5340429707656201,0.7717573494892421,0.5520170722698732,0.5970837436659224,0.5615868965386767,0.5681909501709558
2,0.7568742627173327,0.5635742753305125,0.596740718406454,0.5601383106446906,0.5732486193285949,0.7608210871147671,0.6022489432429105,0.6248756794088721,0.5586646572842936,0.49998251111415587
3,0.7430272295150194,0.5677001948838597,0.5837764326427978,0.5654998605035823,0.5730577661859407,0.7354203717602207,0.5923174785570648,0.5875828834932745,0.5661644342480624,0.551815096727846
4,0.73523355766796,0.5725020629597767,0.5766877404272629,0.5698753563524429,0.5729592032119335,0.7381825409536287,0.5715927278696598,0.5909413793589746,0.5722632893891916,0.5796527416264023
5,0.7271094084372012,0.5756008919009077,0.57555227921757,0.5746665551493153,0.5751030695592211,0.7290296098535142,0.5635901013666024,0.5711582413871582,0.5765287168576784,0.5662740328268193
6,0.7223225594738896,0.5737749530347455,0.572090030318379,0.5744259740563207,0.5731155725618621,0.7283583137932725,0.550539664300078,0.561964837127988,0.574476974008043,0.5417773227609203
7,0.7152038093614445,0.5782256790210158,0.5747620909903083,0.5780124180388494,0.5763158265576735,0.7313292808341855,0.5694997332457832,0.5673871225532203,0.576507470318805,0.5693195540318273
8,0.7078181770075573,0.5837034956195024,0.578104704210786,0.5846999097140663,0.5810406345667317,0.7299338766909022,0.5665038781959207,0.5622942435257898,0.577483161222406,0.5628475456391352
9,0.700222691022948,0.5871798023070035,0.5801934862329727,0.5878080765858346,0.5835798130886846,0.739626382592469,0.5800878236959822,0.5666487078289201,0.5747506020181832,0.5694210830506966
10,0.6905627826710096,0.5945713432940639,0.5917342943172019,0.5998388401474934,0.593287813890545,0.7389191007754934,0.58456108671564,0.5836404463081878,0.5930271705963873,0.583787106171744
