epoch,train_loss,train_accuracy,train_precision,train_recall,train_f1,val_loss,val_accuracy,val_precision,val_recall,val_f1
1,0.6758262668767672,0.6150165914637358,0.6210265062334274,0.616197492269524,0.617896736062761,0.5674915295338693,0.6569951163458776,0.6722976876827689,0.6683774953914007,0.6615428818750432
2,0.5592190568199319,0.6700756711203188,0.6686306681516768,0.6727175928628775,0.6695010403453047,0.5409611543723605,0.6357778963352074,0.7270314012818164,0.6736522834227964,0.6105234718806309
3,0.5353277042340696,0.6815404603472796,0.6807225441671861,0.6840008025397549,0.6812747113110795,0.5204396448892559,0.7002503385726597,0.6890590675013505,0.6895162082495919,0.6871312266346999
4,0.5176691642889146,0.6887564302895166,0.6886286620696689,0.6917736792820638,0.6888144406510985,0.5223683628432081,0.673246604013625,0.6945688911100666,0.6933388263162108,0.6709827140100084
5,0.5044768512960566,0.701590673666099,0.701108699815823,0.7042410141168515,0.7015270689895252,0.5062371106168103,0.7207288545984323,0.7145147025251267,0.7071605530094137,0.7052779173857093
6,0.48304779833873335,0.7193145706410099,0.7186587148518088,0.7218306222700462,0.7191688258806151,0.49200363635156413,0.7097714121557844,0.7138082436286001,0.7184969103811986,0.7099890699968433
7,0.4648181339537495,0.7316308794353635,0.7308151357095681,0.7341801165671148,0.7314154732904058,0.4900672529723857,0.721057167480609,0.7216273694516627,0.7251685421172634,0.7211525020449119
8,0.45231642029509783,0.738065558228137,0.737362024988744,0.7408409923353382,0.7379668494409423,0.5073326284315173,0.6996347519185784,0.7173053407164799,0.7161096484167611,0.6996871256133718
9,0.43913749709223093,0.7487402777533929,0.7475908515530106,0.7511476285461995,0.7484446456413604,0.5120341958883866,0.7085812779578938,0.7146633569750999,0.7163364717115192,0.7105241326533586
10,0.42403851642032686,0.7597310251593308,0.7583971815568517,0.7619396600672488,0.7593618107676883,0.5172340328416486,0.7025485287478967,0.7077681952585931,0.7105551431428928,0.7036928127201185
